Marca,Modelo,Titulo,category,listPrice,sku
Electrolux,LSI09,Lava e Seca Electrolux 9kg LSI09 - 11 Programas de Lavagem Água Quente,Lavadora de Roupas Lava e Seca,,084212000
,LSA102,Lava E Seca Midea Branca 10kg 220v,Lavadora de Roupas Lava e Seca,,717143600
,LSX122,Lava E Seca Midea Prata 12kg 220v,Lavadora de Roupas Lava e Seca,,717384700
,,"Lavadoura e Secadora de Roupas Samsung 10,2 Kg WD10 Ecobubble Prata 110V",Lavadora de Roupas Lava e Seca,,504497800
,,Lavadora e Secadora Samsung WD700 15 kg Inox 110V WD15H7300KP/AZ,Lavadora de Roupas Lava e Seca,,679323400
,,Lavadora de Roupas 4Kg Wanke Semi Automática Lis,Lavadora de Roupas Lava e Seca,,611406300
Samsung,WD106UHSAWQ,"Lava e Seca Samsung 10,1kg WD106UHSAWQ - 14 Programas de Lavagem Água Quente",Lavadora de Roupas Lava e Seca,,202972800
Samsung,WD10K6410OX/AZ,"Lava e Seca Samsung 10,2Kg AddWash   - WD10K6410OX/AZ 14 Programas de Lavagem",Lavadora de Roupas Lava e Seca,,219039400
Samsung,WD7000,Lava e Seca Samsung 15kg Inox WD7000 - 13 Programas de Lavagem,Lavadora de Roupas Lava e Seca,,213970200
,,"Lavadora e Secadora de Roupas Samsung 10,2 Kg WD10 Ecobuble Branca 220V",Lavadora de Roupas Lava e Seca,,543347200
,,Lava e Seca 15KG Top Load LSW15 - Electrolux,Lavadora de Roupas Lava e Seca,,765607900
,,Lava e Seca 14Kg LG Top Gun WD1014RDA7 Aço Escovado - Água Quente com 12 Programas de Lavagem 220V,Lavadora de Roupas Lava e Seca,,613302800
,,Lava e Seca Midea Acqua Branca 8 kg 220V  LSA082,Lavadora de Roupas Lava e Seca,,636556200
,,Lava e seca lg titan aço escovado 16 kg 220v - wd1316ada7 - Lg,Lavadora de Roupas Lava e Seca,,715042000
,,Lava e seca lg titan aço escovado 16 kg 110v - wd1316ad7 - Lg,Lavadora de Roupas Lava e Seca,,709242800
,,"Lava e seca lg prime touch led 8,5kg aço escovado 220v - wd1485ata7b",Lavadora de Roupas Lava e Seca,,667093300
,,"Lava e seca 8,5kg lg direct drive wd1485ata7b aço escovado - água quente com 14 programas de lavagem 220v",Lavadora de Roupas Lava e Seca,,600750600
,,Lava e seca 14kg lg top gun wd1014rwa branca - água quente com 12 programas de lavagem 220v - Lg,Lavadora de Roupas Lava e Seca,,603057400
,,"Lava e Seca Acqua Branca com Modo Eco Rápido 10,1 kg LSA10 - Midea",Lavadora de Roupas Lava e Seca,,619796400
,,"Lava e Seca 10,1Kg Acqua LSA10 Branca Midea",Lavadora de Roupas Lava e Seca,,638472500
,,Lavadora Special Lava e Seca Easy Dry 7kg Mueller Branco,Lavadora de Roupas Lava e Seca,,741184500
,,Lavadora Special Lava e Seca Easy Dry 7kg Mueller Branco,Lavadora de Roupas Lava e Seca,,768323500
,,Lavadora de Roupas Panasonic 16Kg NA-F160B5WA Econavi e Espuma Ativa Branca 220V,Lavadora de Roupas Lava e Seca,,635686700
,,Lavadora de Roupas Semi-Automática Colormaq 7Kg Branca,Lavadora de Roupas Lava e Seca,,682952600
,,Lavadora  Premium Lava E Seca 7 Kg Seca 4 Kg Special Mueller,Lavadora de Roupas Lava e Seca,,711987000
,,Lavadora Secadora De Roupa Popmatic 6Kg 550W 220V Branca Mueller,Lavadora de Roupas Lava e Seca,,703553500
,,"Lavadora de Roupas Automática 15KG, 5 Programas de Lavagem Colormaq - LCA15",Lavadora de Roupas Lava e Seca,,637469800
,,Lavadora Secadora De Roupa Vip 7Kg 350W 110V Branca Mueller,Lavadora de Roupas Lava e Seca,,716630900
,,Lavadora Secadora De Roupa Vip 7Kg 350W 220V Branca Mueller,Lavadora de Roupas Lava e Seca,,730271600
,,Lavadora Secadora De Roupa 7Kg 350W 110V Branca Mueller,Lavadora de Roupas Lava e Seca,,737656700
,,Lavadora Secadora De Roupa 7Kg 350W 220V Branca Mueller,Lavadora de Roupas Lava e Seca,,723303000
,,"Lava e Seca 10,2Kg LG Direct Drive WD1412RT7B Aço Escovado - Água Quente com 14 Programas de Lavagem 110V",Lavadora de Roupas Lava e Seca,,753667500
,,"Lava e Seca 8,5Kg LG Direct Drive WD1485AT7B Aço Escovado - Água Quente com 14 Programas de Lavagem 110V",Lavadora de Roupas Lava e Seca,,763950500
,,"Lava e Seca 10,2 kg Touch Led - WD1412RT - LG - Lg linha branca",Lavadora de Roupas Lava e Seca,,778772800
,,Lava e Seca Samsung WD6000J 220V 10.2Kg Branca,Lavadora de Roupas Lava e Seca,,706475800
,LSA082,Lava E Seca Midea Branca 8kg 220v,Lavadora de Roupas Lava e Seca,,716969800
,,Lava e Seca 11Kg LG Prime Touch 11Kg 127V Aço Escovado 14 Programas de Lavagem,Lavadora de Roupas Lava e Seca,,606036500
,,Lava e Seca 11Kg LG Prime Touch 11Kg 220V Aço Escovado 14 Programas de Lavagem,Lavadora de Roupas Lava e Seca,,624917600
,,Lava e Seca 11Kg LG Prime Touch 11Kg 127V Aco Escovado 14 Programas de Lavagem,Lavadora de Roupas Lava e Seca,,601575700
,,Lava e Seca 11Kg LG Prime Touch 11Kg 220V Aco Escovado 14 Programas de Lavagem,Lavadora de Roupas Lava e Seca,,620492600
,,Lavadora e Secadora de Roupas Samsung 10.2 Kg WD10 AddWash Inox 220V,Lavadora de Roupas Lava e Seca,,648132800
,,"Lava e Seca 10,2 kg Touch Led - WD1412RT - LG - Lg linha branca",Lavadora de Roupas Lava e Seca,,779102300
,,Lavadora de Roupas Tanquinho 6Kg Automático Colormaq LCM6,Lavadora de Roupas Lava e Seca,,615499500
,,"Lavadora e Secadora 10,2 Kg WD10J6410AX Samsung - Samsung l.branca",Lavadora de Roupas Lava e Seca,,675913900
,,Lavadora de Roupas 16kg Consul - CWL16AB,Lavadora de Roupas Lava e Seca,,585983500
,,Lava e Seca 9Kg Samsung Branca - Água Quente com 12 Programas de Lavagem 127V  WD90J6410AW,Lavadora de Roupas Lava e Seca,,792381200
,,Lava e Seca 12Kg Acqua LSX12 Prata Midea,Lavadora de Roupas Lava e Seca,,690581000
,,"Lavadora de Roupas Electrolux 8,5kg LAC09 Branca",Lavadora de Roupas Lava e Seca,,660660800
,,"Lavadora de Roupas Samsung  Lava e Seca Branca 10,2KG 127V",Lavadora de Roupas Lava e Seca,,646096900
,,"Lavadora de Roupas Samsung Lava e Seca 10,2kg Inox 220v WD4000",Lavadora de Roupas Lava e Seca,,573117900
,,"Lavadora e Secadora de Roupas Samsung 10,2 kg WD10J6410AX EcoBubble Inox Look",Lavadora de Roupas Lava e Seca,,620220500
,,Lavadora de Roupas Midea Lava  Seca Acqua 12kg Prata 220v LSX122,Lavadora de Roupas Lava e Seca,,641499000
,,"Lavadora e Secadora de Roupas Samsung 10,2 kg WD10J6410AX EcoBubble Inox Look 220V",Lavadora de Roupas Lava e Seca,,606709800
,,"Lavadora e Secadora de Roupas Samsung 10,2 Kg WD10 Ecobuble Branca",Lavadora de Roupas Lava e Seca,,647910500
,,Lavadora e Secadora de Roupas Panasonic 12 Kg NA-S128F2WBZ Inverter Branca,Lavadora de Roupas Lava e Seca,,627913800
,,Lavadora 10kg Desligamento Automático Lavamax Eco Suggar 220V Branco,Lavadora de Roupas Lava e Seca,,533266600
,,"Lavadora de Roupas Samsung 10,1 Kg WF106U4SAWQ/AZ EcoBubble Branca",Lavadora de Roupas Lava e Seca,,610867900
,,Lavadora de Roupas Colormaq 15 Kg LCA15 Branca,Lavadora de Roupas Lava e Seca,,667959200
,,"Lavadora e Secadora de Roupas Samsung 8,5 Kg WD85M Ecobuble Branca",Lavadora de Roupas Lava e Seca,,691913700
,,"Lavadora de Roupas Lava e Seca Inox Look 10,2KG 220V - Samsung",Lavadora de Roupas Lava e Seca,,547019200
,,Lavadora/Secadora AddWash 10.2Kg branca - Samsung,Lavadora de Roupas Lava e Seca,,504984600
,,Lavadora de Roupas Electrolux LTD13 13kg Classe A,Lavadora de Roupas Lava e Seca,,584200100
,,Lavadora de Roupas Semi-Automática Coloramq 15Kg  LCM15 Azul - Colormaq,Lavadora de Roupas Lava e Seca,,641591100
,,Lavadora de Roupas Brastemp 15 kg Double Wash Grafite110V BWD15A9ANA,Lavadora de Roupas Lava e Seca,,667226700
,,"Lava e Seca 10,2Kg LG Direct Drive WD1412RTA7B Aço Escovado - Água Quente com 14 Programas de Lavagem 220V",Lavadora de Roupas Lava e Seca,,696929600
,,"Lava e Seca LG Prime Touch LED 10,2Kg Aço Escovado 220V - WD1412RTA7B",Lavadora de Roupas Lava e Seca,,660510400
,,Lavadora de Roupas Electrolux Automática 17kg Branca 220v LAI17,Lavadora de Roupas Lava e Seca,,631860400
,,"Lavadora e Secadora Samsung WD6000 10,2Kg Inox 110V WD10J6410AX/AZ",Lavadora de Roupas Lava e Seca,,653395700
,,"Lavadora e Secadora de Roupas Samsung 10,2 kg WD10J6410AW EcoBubble Branca",Lavadora de Roupas Lava e Seca,,642665500
,,"Lava e Seca 8,5Kg LG Direct Drive WD1485ATAB - Água Quente com 14 Programas de Lavagem Branca 220V",Lavadora de Roupas Lava e Seca,,661600300
,,Lavadora de Roupa 15kg Brastemp 2 Cestos BWD15AB,Lavadora de Roupas Lava e Seca,,662369000
,,"Lava e Seca 8,5Kg LG Direct Drive WD1485ATB - Água Quente com 14 Programas de Lavagem Branca 110V",Lavadora de Roupas Lava e Seca,,637930200
,LSE12,Lavadora e Secadora Eco Vapor 12Kg (LSE12) - Electrolux,Lavadora de Roupas Lava e Seca,,715847400
,,Lavadora de Roupa 10Kg New Up - Newmaq,Lavadora de Roupas Lava e Seca,,670285800
,,Lavadora de Roupas Electrolux Automática 17kg Branca 127v LAI17,Lavadora de Roupas Lava e Seca,,662016900
,,"Lava e Seca Midea Acqua Branca 10,1 kg 110V  LSA101",Lavadora de Roupas Lava e Seca,,619136900
,,"Lava e Seca Midea Acqua Branca 10,1 kg 220V  LSA102",Lavadora de Roupas Lava e Seca,,687868400
,,Lava e Seca LG Prime Aço Escovado 11 Kg 110V  WD11EP6,Lavadora de Roupas Lava e Seca,,611056000
,,Lava e Seca LG Prime Aço Escovado 11 Kg 220V  WD11EP6A,Lavadora de Roupas Lava e Seca,,639574700
,,Lava e Seca Midea Acqua Prata 12 kg 220V  LSX122,Lavadora de Roupas Lava e Seca,,675311900
,,"Lava e Seca LG Prime Big Door Aço Escovado 10,2 kg 110V  WD1412RT7B",Lavadora de Roupas Lava e Seca,,701699200
,,"Lava e Seca LG Prime Big Door Branca 8,5 kg  220V  WD1485ATAB",Lavadora de Roupas Lava e Seca,,714606700
,,Lava e Seca LG Top Gun Aço Escovado 14 kg 110V  WD1014RD7,Lavadora de Roupas Lava e Seca,,722719500
,,Lava e Seca LG Top Gun Aço Escovado 14 kg 220V  WD1014RDA7,Lavadora de Roupas Lava e Seca,,738249400
,,"Lava e Seca LG Mega Touch Branca 8,5 kg 220V  WD9WE6A",Lavadora de Roupas Lava e Seca,,702937800
,,"Lava e Seca LG Prime Big Door Branca 8,5 kg  110V  WD1485ATB",Lavadora de Roupas Lava e Seca,,729272200
Panasonic,NA-S107F2W,"Lava e Seca Panasonic 10,1kg NA-S107F2W - 13 Programas de Lavagem Água Quente",Lavadora de Roupas Lava e Seca,,219059400
LG,Direct Drive,"Lava e Seca LG 10,2Kg Direct Drive WD1412RTB - 14 Programas de Lavagem Água Quente",Lavadora de Roupas Lava e Seca,,214410900
,,Lavadora E Secadora Ecobubble 10.2Kg Branca - Samsung,Lavadora de Roupas Lava e Seca,,539187300
LG,Top Gun,Lava e Seca LG 14kg Top Gun WD1014RD7 - 12 Programas de Lavagem Água Quente,Lavadora de Roupas Lava e Seca,,215562800
Samsung,WD90J,Lava e Seca 9Kg Samsung WD6000 WD90J6410AW - 13 Programas de Lavagem,Lavadora de Roupas Lava e Seca,,010539600
,,Lavadora E Secadora Wd6000J 10.2Kg Branca - Samsung,Lavadora de Roupas Lava e Seca,,599689600
Brastemp,BRM58AB,Geladeira/Refrigerador Brastemp Frost Free Duplex  - 500L BRM58AB Branco,Geladeira/Refrigerador Frost Free,,218178700
Samsung,RF56K9040SR/AZ,Geladeira/Refrigerador Samsung Frost Free Inox - French Door 564L RF56K9040SR/AZ,Geladeira/ Refrigerador Inox,,218037800
,,Refrigerador Brastemp Duplex Inox 462 Litros 110V BRM56AK,Geladeira/Refrigerador,,584447600
Electrolux,SS72X,Geladeira/Refrigerador Electrolux Frost Free - Side by Side 504L Dispenser de Água SS72X Titanium,Geladeira/Refrigerador Frost Free,,010068100
Electrolux,RV80,"Frigobar Electrolux 78,8L Preto com Porta de Vidro - RV80",Frigobar,,211487400
Electrolux,RFE39,Geladeira/Refrigerador Electrolux Frost Free 323L - Painel Touch RFE3911006 Branco,Geladeira/Refrigerador Frost Free,,013072201
,,Geladeira/Refrigerador Esmaltec 2 Portas Cycle Defrost RCD34 276 Litros Branco,Geladeira/Refrigerador,,631052100
Samsung,RF28HDEDBSR/AZ,Geladeira/Refrigerador Samsung Frost Free Inox - French Door 665L Dispenser de Água RF28HDEDBSR/AZ,Geladeira/ Refrigerador Inox,,218037700
Electrolux,DF52,Geladeira/Refrigerador Electrolux Frost Free - Duplex 459L Painel Touch DF52 Branco,Geladeira/Refrigerador Frost Free,,013071401
Electrolux,DC44,Geladeira/Refrigerador Electrolux Cycle Defrost - Duplex 362L DC44 Branco,Geladeira/Refrigerador,,088806100
Esmaltec,RCD34,Geladeira/Refrigerador Esmaltec Cycle Defrost - Duplex 276L RCD34 Branco,Geladeira/Refrigerador,,013018401
Brastemp,,Geladeira Brastemp Ative! Inverse Frost Free 422 L,Geladeira/Refrigerador,,926730500
,,Refrigerador Electrolux Cycle Defrost 262L 127V Porta Branco,Geladeira/Refrigerador,,670565100
,,Geladeira/Refrigerador Electrolux Frost Free 2 Portas DF53X 427 Litros Inox,Geladeira/Refrigerador,,688895600
,,Mini Geladeira para Automóvel 24 Litros 12V BDC24L-LA Black Decker,Geladeira/Refrigerador,,695147300
,,Refrigerador Elux Db83X 127V Electrolux,Geladeira/Refrigerador,,743152700
,,Frigobar 76 Litros Cycle Defrost Retro Brastemp BRA08AE - Brastemp,Frigobar,,743084300
,,Refrigerador Samsung Multiportas Frost Free Inox 614 Litros 110V RFG28MESL1/XAZ,Geladeira/Refrigerador,,600166300
,2 Portas,Refrigerador 2 Portas 386L Frost Free CRM43HK Consul,Geladeira/Refrigerador,,752722100
,2 Portas,Refrigerador 275 Litros Frost Free Consul CRM35HB,Geladeira/Refrigerador,,744852800
,2 Portas,Refrigerador 2 Portas 352L Frost Free BRM39EK Brastemp,Geladeira/Refrigerador,,755713200
,2 Portas,Refrigerador 2 Portas 380L Frost Free Electrolux DW42X,Geladeira/Refrigerador,,775535100
,2 Portas,Refrigerador 2 Portas Frost Free 459L DF52 Electrolux,Geladeira/Refrigerador,,750168400
,,Frigobar Brastemp 120 Litros Porta Vidro Cinza 110V BZA12AFANA,Frigobar,,856745700
,,Frigobar NGV 10 Preto 220V - Venax - Venax,Frigobar,,928721800
,,Cervejeira Venax EXPM100 220V com Adesivo de Taça - Venax,Frigobar,,924052800
,,Vitrine Expositora de Bebidas Venax 110V - Venax,Geladeira/Refrigerador,,901144500
,,Frigobar Cadence Gourmet 59187 220V - Cadence,Frigobar,,915275800
,,Refrigerador Compacto Eletromecânico Consul 80L 110V,Geladeira/Refrigerador,,744899600
,,Freezer Horizontal 519 Litros Consul CHB53C,Geladeira/Refrigerador,,748158500
,2 Portas,Refrigerador 2 Portas 427L Frost Free Electrolux DF51X,Geladeira/Refrigerador,,765220200
,,Refrigerador 2 Portas 598L Frost Free DB83 Electrolux,Geladeira/Refrigerador,,757919800
,2 Portas,Refrigerador 2 Portas 553L Frost Free DF80 Electrolux,Geladeira/Refrigerador,,754879500
Brastemp,Viva!,Geladeira/Refrigerador Brastemp Frost Free Inox - Inverse 422L Viva! BRE51NKANA,Geladeira/ Refrigerador Inox,,215131100
,,Mini Geladeira BlackDecker 24L 12V de Viagem - Black  Decker,Frigobar,,775124700
,,Geladeira/Refrigerador Electrolux Frost Free 2 Portas DFN42 370 Litros Branco 220V,Geladeira/Refrigerador,,662377400
,,Mini Geladeira Transparente 15L - Mobicool - Mobicool,Frigobar,,917534900
,,Mini Geladeira Portátil Multilaser TV004 110V 4L - Multilaser,Frigobar,,853107100
,,Mini Geladeira Portátil Multilaser TV005 220V 4L - Multilaser,Frigobar,,854072200
,,Cervejeira Venax 1 Porta 220V Adesivado Cerveja - Venax - Venax,Frigobar,,917065000
Brastemp,Viva!,Geladeira/Refrigerador Brastemp Frost Free Inox - Inverse 422L Viva! BRE51NKANA,Geladeira/ Refrigerador Inox,,215131100
,,Geladeira Portátil Resfriar 31L,Geladeira/Refrigerador,,771374900
,,Geladeira/Refrigerador Esmaltec 1 Porta Cycle Defrost ROC 31 245 Litros Branco,Geladeira/Refrigerador,,636067400
,,Geladeira/Refrigerador Panasonic Frost Free 2 Portas NR BT47BD2XA 435 Litros Aço Escovado,Geladeira/Refrigerador,,680863100
,,Geladeira/Refrigerador Esmaltec 2 Portas Cycle Defrost RCD34 276 Litros Preto,Geladeira/Refrigerador,,617928400
,,Geladeira/Refrigerador Esmaltec 2 Portas Cycle Defrost RCD38 306 Litros Branco,Geladeira/Refrigerador,,632761800
,,Geladeira/Refrigerador Electrolux Frost Free 2 Portas DFN39 310 Litros Branco,Geladeira/Refrigerador,,668264000
,RE35,Refrigerador Degelo Prático  240L Branco (RE35) - Electrolux,Geladeira/Refrigerador,,731687400
,,Expositor/Refrigerador Vertical Porta de Vidro para Bebidas 350 Litros VB40RE com Controlador Eletrônico - Metalfrio,Geladeira/Refrigerador,,632384200
,,Geladeira/Refrigerador Electrolux 2 Portas Cycle Defrost DC44 362 Litros Branco 220v,Geladeira/Refrigerador,,673271700
,,Mini Geladeira Branca 04L 110V TV010 Multilaser,Frigobar,,751061900
,,Refrigerador Electrolux 1 Porta 240L Cycle Defrost 127V - RE31,Geladeira/Refrigerador,,513541600
,,Refrigerador Electrolux 2 Portas 362 Litros Branco Cycle Defrost 127v,Geladeira/Refrigerador,,525810800
,,Refrigerador Elux Db52X 127V Electrolux,Geladeira/Refrigerador,,754150600
,,Refrigerador Elux Df52X 127V Electrolux,Geladeira/Refrigerador,,756553700
,,Refrigerador Consul 275 Litros 2 Portas Frost Free com Bandeja Deslizante CRM35,Geladeira/Refrigerador,,653901900
,,Refrigerador French Door 614L Inox Look - Samsung,Geladeira/Refrigerador,,586514100
,,Refrigerador Samsung RT6000K Twin Cooling Duplex 453 litros Frost Free Inox 110V RT46K6361SL/AZ,Geladeira/Refrigerador,,679096600
,,Geladeira/Refrigerador Samsung Frost Free 2 Portas RT46K6341WW Twin Cooling Plus 453 Litros Branco,Geladeira/Refrigerador,,594076700
,,Refrigerador Brastemp Side By Side Inverse 540 Litros Iluminação em LED BRO80,Geladeira/Refrigerador,,627466900
,,Refrigerador Consul 386L Frost Free Classe A - CRM43,Geladeira/Refrigerador,,688706400
,,Frigobar Cuisinart 178 Litros Inox/Preto 220V 4092810001,Frigobar,,852916400
,,Refrigerador Brastemp Duplex Frost Free Branco 400L BRM54HB - 127V,Geladeira/Refrigerador,,539057800
,,Refrigerador Electrolux 3 Portas Frost Free 579 Litros DM84X,Geladeira/Refrigerador,,636002300
